f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
0.11374877984506049,0.580760573728852,0.1554542023564811,0.8743020501543487,0.9258892235230017,0.4190881521767734,0.47989061921508336,0.07115914380855903,0.9726964836753158,0.7611973138022782,1
0.4464825135527849,0.37624869689920126,0.04492598504527556,0.9094960322147195,0.18806156171178867,0.8944647964204414,0.2478190269978401,0.654446872783023,0.1586189920742178,0.16200979821867456,0
0.35637408785693825,0.6536141300404464,0.8142893090645933,0.24487277348695258,0.8080336842879884,0.7598936899583709,0.2732532941636463,0.9945051319704286,0.5096472790211547,0.17730895538925762,1
0.5772311091511458,0.35492509899267455,0.7752974011104127,0.4424541298740755,0.6119164982200787,0.8931425899130805,0.5041499971396752,0.2289132226689854,0.2826846829507732,0.829038206965087,0
0.9403795537991921,0.8076660639360845,0.5792813573101643,0.6269159920681034,0.1904029479373821,0.08864119428055395,0.8745242932471472,0.8593673048004822,0.9866556878194717,0.6352611897073178,1
0.6617123892251467,0.9970471774596694,0.6506492335711771,0.26725798201565665,0.6242155848210947,0.9738371182097181,0.7479628435609433,0.1552366024738917,0.6089563123969776,0.4163706289154169,1
0.9548433832194942,0.7503347464482013,0.40859748140094887,0.7468154012709781,0.7041555923139532,0.590653611514826,0.8736792651090459,0.4583230415262832,0.8580911314234504,0.9786728768474597,0
0.16978644119651953,0.1445773174006919,0.41980479550619054,0.6062478488069939,0.8260820211415411,0.26197816099883153,0.5475740335441419,0.0632387655543909,0.8593250222244757,0.10614075198909612,0
0.21974532239624733,0.7641923174479832,0.7734716895526239,0.5123119603167169,0.7574445180255935,0.5801668100292382,0.9483352883467903,0.0743643590715376,0.5670987788734001,0.5344938740331472,1
0.8817782970756333,0.3533389449888732,0.8698755220903828,0.5617384689239651,0.20158924653042587,0.995506716130802,0.12275307961574644,0.9963073913797644,0.4264825216840784,0.7843058614229381,0
0.20073712544575195,0.07691333482325369,0.015825764406010245,0.5983779340373656,0.735542224352432,0.5202339709546827,0.8310527119363611,0.653435947441721,0.8310755871281644,0.5248014769487294,1
0.6785540110244582,0.3453687534441998,0.057554588000163,0.1850158861145832,0.5821545754393314,0.6131380952145191,0.19906311271761423,0.207629101245989,0.7406373621304462,0.7492785049500637,1
0.53859605084892,0.24014409840993023,0.7762088435147873,0.9067598428505331,0.8182394158833552,0.23812527816075058,0.12463630542089577,0.13628979954308895,0.6819600232403522,0.2885835875180285,0
0.8551942381531938,0.5309775508314025,0.7473285674358491,0.8204873116363903,0.17001923144450537,0.9782901374337646,0.6881979491521277,0.7468646673388751,0.7100206680292874,0.39249648258316694,1
0.04975263553037279,0.5680852535349707,0.30878348234248854,0.08550106120712209,0.31277959908394637,0.6937362996536157,0.5855641582021194,0.3643026777412165,0.9072472467410695,0.9394699279686147,1
0.925390789184089,0.7721064501819712,0.043825852216047845,0.6780909996076566,0.39824930156169636,0.02707040368901592,0.06497339185499051,0.9708961218367957,0.4682006754977178,0.7177663041251455,0
0.26527072165324195,0.02191843810372962,0.5911211452532379,0.35639283328344695,0.10134751332526237,0.8525361514219206,0.30446212765990954,0.694807780494476,0.18026224779545374,0.23114781385916583,1
0.4093346804733675,0.37854448166377264,0.62898223910859,0.020361706477640906,0.9994398573682844,0.22993028095514978,0.8345567387101256,0.4378630584248576,0.39694513333940806,0.9360402788529977,0
0.6404900179864699,0.20159090896817944,0.8403657481777816,0.5064838507022598,0.5471751518021201,0.4345355719931785,0.32345665518143163,0.9351547209435084,0.9706227152303993,0.5102873595308403,0
0.41287539571054865,0.7393611847458946,0.3436763649282977,0.7472554730769159,0.762049879674673,0.9258588568259601,0.988280410669409,0.8361245854223457,0.9641969779168329,0.2964755525865671,0
0.059336689853278224,0.9466542439692898,0.48833552352804555,0.2607028579905146,0.8971848356969863,0.6560425068778551,0.018045602662181692,0.6423565428208007,0.7310109351672516,0.263255843607092,0
0.8980992572153913,0.4961431123160359,0.0537653009082546,0.9121651554394685,0.0042909987289085905,0.36894380652611614,0.1332327159291985,0.5873684805132245,0.301180185012072,0.19646509181848193,1
0.7731535939764029,0.6880427527336954,0.7938153275776648,0.8119122229929642,0.9105558571315046,0.5712791214533417,0.2004601303839022,0.37188756826708447,0.7576671330731908,0.3052620023374496,1
0.24588842485719264,0.7103058023801979,0.648999931327594,0.773811664013385,0.9724562417479632,0.00318362516495474,0.21542606541885134,0.6418025822634421,0.36090656163812873,0.27714872705440774,0
0.032652911393827755,0.27344051526000634,0.8047714726958674,0.9488364239442654,0.6352994464989878,0.8631188394281939,0.8305345520616161,0.6416180272868405,0.9664330606013549,0.08056467837207093,0
0.31367541043788794,0.15270210107734328,0.04322994126142643,0.2039729366041213,0.8999952523336093,0.6460802156143832,0.5825592602548684,0.6873417924048631,0.020757627802692413,0.3568932321106041,0
0.20665517611009998,0.658975527489997,0.2791541074936058,0.635826096425246,0.3575269630952834,0.7391683904510415,0.12220245571259492,0.6348772454546505,0.4863336505819845,0.45492154893608583,1
